Date,Location,Designation,Filename,Frame,Time (mins),Period time (mins),X (mm),Y (mm),Z (mm),sX (mm),sY (mm),sZ (mm),RMS (mm),Range (mm),Direction (deg),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Common_name,Code,Number,Stage,Activity,Comment,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,4559,2.5353,1.0071,1017.124,519.443,-1843.195,2.218,1.39,3.92,7.128,2168.347,31.786,2.05,AW,45,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,19894,11.0633,9.5351,-520.544,-109.17,-1047.176,0.97,0.572,1.5,0.314,1174.505,26.925,2.05,AW,45,na,Hexagrammidae,Oxylebius,pictus,Painted_Greenling,83,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_3.MP4,3803,25.7552,24.227,122.502,-69.835,-944.965,0.58,0.552,1.513,0.986,955.428,8.484,2.05,AW,45,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_3.MP4,3803,25.7552,24.227,64.655,-176.93,-685.827,0.368,0.426,0.74,3.345,711.226,15.353,2.05,AW,45,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,2,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_3.MP4,15205,32.096,30.5678,110.029,-31.767,-898.554,0.543,0.517,1.365,1.487,905.823,7.262,2.05,AW,45,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,2,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_4.MP4,2773,36.9775,35.4493,144.71,70.013,-663.608,0.408,0.372,0.681,1.267,682.802,13.62,2.05,AW,45,na,Scorpaenidae,Sebastes,caurinus,Copper_Rockfish,151,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,-802.987,-716.139,-1406.854,1.528,1.559,2.936,96.994,1771.124,37.452,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,in 1 cam,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,-154.839,112.806,-2144.543,1.385,1.326,8.242,49.174,2153.082,5.066,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,67.2,290.61,-2400.015,1.373,1.791,9.849,110.879,2418.48,7.021,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,3,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,367.092,500.483,-2183.536,1.525,2.002,7.368,103.032,2270.038,15.815,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,4,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,34.085,-96.863,-2414.925,1.386,1.444,10.089,88.775,2417.107,2.497,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,5,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,246.086,117.286,-2492.775,1.596,1.487,10.268,122.704,2507.637,6.213,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,6,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,413.047,154.138,-2132.615,1.593,1.274,7.06,88.221,2177.708,11.657,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,7,AD,Passing,in 1 cam,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,554.415,487.888,-1996.211,1.592,1.652,5.55,82.445,2128.443,20.259,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,8,AD,Passing,can see fish w/ contrast,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,625.708,388.814,-1971.083,1.653,1.41,5.24,72.28,2104.247,20.458,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,9,AD,Passing,can see w/contrast,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,776.597,579.724,-1991.54,1.724,1.621,4.744,94.886,2214.817,25.909,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,10,AD,Passing,can see w/contrast,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,14868,8.2683,6.3986,418.89,970.579,-1907.212,1.217,2.506,4.813,98.131,2180.584,28.938,3.01,MK,50,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_2.MP4,12134,18.6097,16.7401,657.984,412.147,-2027.194,1.74,1.481,5.483,96.853,2170.789,20.922,3.01,MK,50,,Scorpaenidae,Sebastes,miniatus,Vermilion_Rockfish,198,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_2.MP4,14068,19.6852,17.8156,-382.874,-391.458,-1144.318,0.932,0.985,2.324,117.967,1268.58,25.619,3.01,MK,50,,Cottidae,,,Unid_Sculpin,,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_2.MP4,14068,19.6852,17.8156,354.524,98.423,-955.634,0.663,0.515,1.218,69.864,1024.017,21.04,3.01,MK,50,,Cottidae,,,Unid_Sculpin,,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_4.MP4,12422,42.3601,40.4904,-82.819,-19.985,-1539.584,0.944,0.912,4.317,36.166,1541.94,3.183,3.01,MK,50,,Scorpaenidae,Sebastes,rosaceus,Rosy_Rockfish,180,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4347,2.4174,1.075,-1299.748,487.639,-2723.209,4.351,2.229,9.668,5.499,3056.632,26.949,3.03,AW,37.7,na,Scorpaenidae,Sebastes,caurinus,Copper_Rockfish,151,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4478,2.4903,1.1478,-1686.192,-95.109,-3121.209,6.083,1.653,12.142,1.307,3548.836,28.428,3.03,AW,37.7,na,Embiotocidae,Rhacochilus,vacca,Pile_Perch,62,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4478,2.4903,1.1478,-1615.184,-5.175,-3588.171,7.362,1.935,17.397,10.735,3934.948,24.236,3.03,AW,37.7,na,Embiotocidae,Rhacochilus,vacca,Pile_Perch,62,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4759,2.6465,1.3041,728.326,970.416,-2780.246,2.874,3.91,10.643,13.765,3033.469,23.435,3.03,AW,37.7,na,Scorpaenidae,Sebastes,miniatus,Vermilion_Rockfish,198,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5380,2.9919,1.6494,-228.538,-357.479,-2415.144,1.632,1.92,9.41,0.967,2452.13,10.115,3.03,AW,37.7,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,14.02,293.364,-2002.427,1.182,1.495,6.503,6.475,2023.851,8.166,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-859.457,-83.652,-2563.619,3.277,1.474,9.752,2.916,2705.144,18.633,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-504.165,761.217,-1993.736,1.715,2.412,5.827,1.354,2192.856,24.457,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,3,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-932.467,372.441,-1476.709,1.492,0.929,2.381,18.714,1785.743,34.148,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,4,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-1272.236,305.304,-1945.203,2.486,1.145,4.093,10.726,2344.271,33.884,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,6,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-1581.813,707.111,-3042.661,5.529,3.039,11.438,8.706,3501.417,29.587,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,7,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-1034.422,541.214,-2507.647,3.448,2.269,8.627,4.279,2766.086,24.882,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,8,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,-1224.787,798.003,-2903.244,4.523,3.397,11.267,16.046,3250.498,26.629,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,9,AD,Passing,,
